S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,
4 (0.004),revenge (0.005),get (0.004),bad (0.004),finished (0.004),often (0.004),try (0.005),acting (0.002),ben (0.004),first (0.004),interesting (0.002),interesting (0.005),times (0.004),films (0.003),mexico (0.004),jonah (0.004),steve (0.003),men (0.004),blood (0.003),lot (0.002),
actors (0.004),tattoo (0.005),kills (0.004),awful (0.004),focus (0.004),one (0.004),watched (0.005),back (0.002),bitch (0.004),forward (0.004),go (0.002),actors (0.005),brilliant (0.003),first (0.003),pot (0.004),pretty (0.004),brilliant (0.003),slave (0.004),car (0.003),new (0.002),
complete (0.004),fincher (0.004),law (0.004),going (0.004),forward (0.004),piece (0.004),mediocre (0.004),long (0.002),book (0.004),hoped (0.004),much (0.002),like (0.005),powerful (0.003),friend (0.003),prepared (0.004),stone (0.004),davis (0.003),beautiful (0.004),dominic (0.003),fun (0.002),
know (0.004),see (0.004),let (0.004),wait (0.004),groups (0.004),typical (0.004),amys (0.004),never (0.002),border (0.004),hours (0.004),performance (0.002),scenes (0.005),150 (0.003),friends (0.003),rather (0.004),modern (0.004),holmes (0.003),2 (0.004),ending (0.003),thought (0.002),
o (0.004),trash (0.004),plot (0.004),high (0.004),heard (0.004),unintelligible (0.004),away (0.004),real (0.002),cast (0.004),husband (0.004),played (0.002),think (0.005),20 (0.003),lifetime (0.003),time (0.004),actor (0.004),omar (0.003),amazing (0.004),fight (0.003),watching (0.002),
plot (0.004),watch (0.004),save (0.004),dvd (0.004),hollywood (0.004),watching (0.004),bear (0.004),bit (0.002),come (0.004),investigation (0.004),slave (0.002),whole (0.005),air (0.003),love (0.003),trailer (0.004),fincher (0.004),perfect (0.003),can (0.004),going (0.003),know (0.002),
avoid (0.004),12 (0.003),scenario (0.004),get (0.004),making (0.004),women (0.004),believe (0.004),ending (0.002),everything (0.004),jay (0.004),want (0.002),also (0.004),alive (0.003),midnight (0.003),trust (0.004),james (0.004),show (0.003),costume (0.004),horse (0.003),interesting (0.002),
describe (0.004),35 (0.003),two (0.004),review (0.004),matters (0.004),hard (0.003),blood (0.004),hard (0.002),finchers (0.004),least (0.004),charlie (0.002),cinematography (0.004),attack (0.003),reeves (0.003),viewers (0.004),know (0.004),funny (0.002),design (0.004),oh (0.003),book (0.002),
garbage (0.004),another (0.003),villain (0.004),book (0.003),one (0.004),affleck (0.003),detectives (0.004),thing (0.002),followed (0.004),lingering (0.004),shows (0.002),drama (0.004),bill (0.003),sulley (0.003),want (0.004),michael (0.004),strong (0.002),editing (0.004),suddenly (0.003),effects (0.002),
laughing (0.004),bear (0.003),way (0.004),got (0.003),perfect (0.004),also (0.003),due (0.004),want (0.002),half (0.004),looking (0.004),true (0.002),ending (0.004),blur (0.003),want (0.003),way (0.004),perfect (0.004),always (0.002),example (0.004),taken (0.003),part (0.002),
lot (0.004),bla (0.003),little (0.003),now (0.003),revenant (0.004),best (0.003),else (0.004),lot (0.002),imagine (0.004),many (0.004),based (0.002),enjoyed (0.004),clever (0.003),will (0.003),beautiful (0.003),previous (0.004),better (0.002),like (0.004),6 (0.003),go (0.002),
