User,Movie,Score,T0,T1,T2,T3,T4,T5,T6,U
087008/,tt5946128,5,"0,0078431373","-0,0366013072","0,2745098039","-0,0366013072","0,1411764706","-0,6248366013","0,2745098039",10
09206/,tt4190530,7,"-0,0317460317","-0,1058201058","0,3386243386","-0,1058201058","-0,1058201058","-0,1058201058","0,1164021164",11
112735/,tt1212428,7,"-0,0676328502","-0,0676328502","0,2801932367","-0,0676328502","-0,0676328502","-0,2898550725","0,2801932367",12
112735/,tt1711525,7,"-0,1142857143","-0,1142857143","0,1142857143","-0,1142857143","-0,1142857143","-0,1142857143","0,4571428571",12
112735/,tt2368619,8,"-0,0369230769","-0,0369230769","0,0430769231","-0,0369230769","-0,0369230769","-0,4984615385","0,6030769231",12
112735/,tt3289956,9,"-0,0676328502","-0,0676328502","0,2801932367","0,0193236715","-0,0676328502","-0,2898550725","0,193236715",12
112735/,tt4680182,8,"0,0217864924","0,0217864924","0,4923747277","0,1394335512","0,0217864924","-0,7189542484","0,0217864924",12
112735/,tt5215952,9,"-0,0952380952","-0,0952380952","-0,0952380952","-0,0952380952","-0,0952380952","-0,0952380952","0,5714285714",12
112735/,tt5311514,10,"-0,0432900433","-0,0432900433","0,1471861472","-0,0432900433","-0,0432900433","-0,4069264069","0,4329004329",12
11762/,tt5640450,6,"-0,099378882","-0,099378882","-0,0124223602","-0,099378882","-0,099378882","-0,099378882","0,5093167702",13
129480/,tt4169250,7,"0,0355160932","-0,0443951165","0,4883462819","-0,1576026637","-0,1620421754","-0,1576026637","-0,0022197558",14
129480/,tt4832640,10,"-0,0593792173","-0,0593792173","0,2213225371","-0,024291498","0,2914979757","-0,367071525","-0,0026990553",14
13355/,tt1083452,8,"-0,0952380952","-0,0952380952","0,4761904762","-0,0952380952","-0,0952380952","-0,0952380952",0,15
13355/,tt1292566,6,"-0,0788530466","-0,0788530466","0,3082437276","-0,0788530466","-0,0788530466","-0,3010752688","0,3082437276",15
13355/,tt1374989,8,"-0,1058201058","-0,1058201058","0,4126984127","-0,1058201058","-0,1058201058","-0,1058201058","0,1164021164",15
13355/,tt1712261,6,"-0,0761904762","-0,0761904762","-0,0761904762","-0,0761904762","-0,0761904762","-0,0761904762","0,4571428571",15
13355/,tt1860213,7,"-0,0266666667","-0,0266666667","0,4533333333","-0,0266666667","-0,0266666667","-0,56","0,2133333333",15
13355/,tt2267968,9,"-0,1028571429","-0,1028571429","0,2171428571","-0,0228571429","-0,1028571429","-0,1028571429","0,2171428571",15
13355/,tt2304933,7,"-0,2327272727","-0,0509090909","0,5090909091","-0,0509090909","-0,0509090909","-0,2327272727","0,1090909091",15
13355/,tt2368619,7,"-0,0320855615","-0,0320855615","-0,0320855615","-0,0320855615","0,0855614973","-0,2139037433","0,256684492",15
13355/,tt2649554,6,"-0,038277512","-0,038277512","-0,038277512","-0,038277512","-0,038277512","-0,0861244019","0,2775119617",15
13355/,tt2869728,7,"-0,0320855615","0,0855614973","0,4385026738","-0,0320855615","-0,2139037433","-0,0320855615","-0,2139037433",15
13355/,tt3352390,7,"-0,1058201058","-0,1058201058","0,3386243386","-0,1058201058","-0,1058201058","-0,1058201058","0,1904761905",15
13355/,tt3381008,7,"-0,0652680653","-0,0652680653","0,2937062937","-0,013986014","-0,0652680653","-0,2470862471","0,1631701632",15
13355/,tt3410834,7,"-0,0584795322","-0,0584795322","0,4678362573","-0,0584795322","-0,0584795322","-0,2807017544","0,0467836257",15
13355/,tt3553442,7,"-0,099378882","-0,099378882","0,5093167702","-0,099378882","-0,099378882","-0,099378882","-0,0124223602",15
13355/,tt3760922,8,"-0,1058201058","-0,1058201058","0,2645502646","-0,1058201058","-0,1058201058","-0,1058201058","0,2645502646",15
13355/,tt4698684,10,"-0,0606060606","-0,0606060606","0,4848484848","-0,0606060606","-0,0606060606","-0,4242424242","0,1818181818",15
14439/,tt0475290,6,"-0,0272108844","-0,0272108844","0,0952380952","-0,0272108844","-0,2176870748","-0,5034013605","0,7074829932",16
14439/,tt0490215,8,"0,0319248826","-0,0525821596","0,0600938967","-0,0525821596","-0,0525821596","-0,585915493","0,6516431925",16
14439/,tt0918940,4,"-0,0155945419","-0,0402858999","0,2066276803","-0,0402858999","-0,0402858999","-0,6718648473","0,6016894087",16
14439/,tt1211837,6,"-0,0266666667","-0,0266666667",0,"-0,0266666667","-0,0266666667","-0,7466666667","0,8533333333",16
14439/,tt1212428,6,"-0,0363636364","-0,0727272727","0,1818181818","-0,0727272727","-0,0727272727","-0,4363636364","0,5090909091",16
14439/,tt1289401,4,"0,0143472023","-0,0344332855","0,1119081779","-0,0344332855","-0,0344332855","-0,6226685796","0,599713056",16
14439/,tt1619029,6,"0,0317460317","-0,126984127","0,2222222222","-0,126984127","-0,0952380952","-0,126984127","0,2222222222",16
14439/,tt1800302,6,"-0,06885759","-0,0970266041","0,3818466354","-0,0970266041","-0,0970266041","-0,3192488263","0,2973395931",16
14439/,tt1860357,6,"-0,0232288037","-0,0232288037","0,2694541231","-0,0232288037","-0,0232288037","-0,5923344948","0,4157955865",16
14439/,tt1974419,4,"0,0166037736","-0,0211320755","0,2052830189","-0,0211320755","-0,0211320755","-0,7411320755","0,5826415094",16
14439/,tt2241351,6,"-0,021978022","-0,021978022","0,1831501832","-0,021978022","-0,021978022","-0,6886446886","0,5934065934",16
14439/,tt2277860,6,"-0,0079760718","-0,0418743769","0,0259222333","-0,0418743769","-0,0418743769","-0,5962113659","0,703888335",16
14439/,tt2404233,4,"0,0988835726","-0,0223285486","-0,0223285486","-0,0223285486","-0,0223285486","-0,653907496","0,644338118",16
14439/,tt2404435,6,"-0,0112044818","-0,0429505135","0,1475256769","-0,0429505135","-0,0429505135","-0,6311858077","0,6237161531",16
14439/,tt2513074,6,"-0,0322234157","-0,0322234157","0,2126745435","-0,0322234157","-0,1374865736","-0,5585392052","0,5800214823",16
14439/,tt2543164,6,"-0,0112044818","-0,0429505135","0,2427637722","-0,0429505135","-0,0112044818","-0,6311858077","0,4967320261",16
14439/,tt2582782,6,"0,0417080437","0,0039721946","0,1549155909","-0,0337636544","-0,0337636544","-0,6276067527","0,4945382324",16
14439/,tt2709768,4,"-0,0326936745","-0,0326936745","0,1407249467","-0,0326936745","-0,0326936745","-0,6041222459","0,5941719972",16
14439/,tt2948356,6,"-0,0540084388","-0,0540084388","0,0978902954","-0,0540084388","-0,0540084388","-0,5873417722","0,7054852321",16
14439/,tt3065204,4,"-0,0587412587","-0,0587412587","-0,0223776224","-0,0587412587","-0,0587412587","-0,5202797203","0,7776223776",16
14439/,tt3183660,4,"-0,3225806452","-0,0788530466","0,0931899642","-0,1003584229","-0,1003584229","-0,1003584229","0,6093189964",16
14439/,tt3416532,6,"-0,0522875817","-0,091503268","0,0261437908","-0,091503268","-0,091503268","-0,3137254902","0,614379085",16
14439/,tt3416828,4,"-0,0187234043","-0,0187234043","0,2791489362","-0,0187234043","-0,0187234043","-0,7387234043","0,5344680851",16
14439/,tt3470600,6,"-0,025915493","-0,025915493","0,0304225352","-0,025915493","-0,105915493","-0,665915493","0,8191549296",16
14439/,tt3553976,6,"-0,0619307832","-0,0947176685","-0,0546448087","-0,0947176685","-0,0947176685","-0,0947176685","0,4954462659",16
14439/,tt3631112,6,"-0,0253968254","-0,0253968254","0,2857142857","-0,0253968254","-0,0253968254","-0,6920634921","0,5079365079",16
14439/,tt3716530,6,"0,0660124888","-0,0356824264","0,2016057092","-0,0356824264","-0,0356824264","-0,6672613738","0,506690455",16
14439/,tt3721936,6,"-0,024291498","-0,0593792173","0,2564102564","-0,0593792173","-0,0593792173","-0,5209176788","0,4669365722",16
14439/,tt3741834,6,"0,1505515899","-0,0285528877","0,3296560675","-0,0285528877","-0,0285528877","-0,6943543154","0,2998053212",16
14439/,tt3774114,6,"0,0253699789","-0,067653277","0,1183932347","-0,067653277","-0,067653277","-0,4312896406","0,4904862579",16
14439/,tt3960412,6,"-0,0265654649","-0,1442125237","0,2314990512","-0,0265654649","-0,0265654649","-0,3795066414","0,3719165085",16
14439/,tt4034354,2,"-0,0177777778","-0,0177777778","0,4266666667","-0,0177777778","-0,0177777778","-0,7377777778","0,3822222222",16
14439/,tt4048272,6,"0,089693155","-0,0078678206","0,1872541306","-0,0078678206","0,0409126672","-0,782061369","0,4799370574",16
14439/,tt4158096,6,"-0,0587412587","-0,0587412587","0,1594405594","-0,0587412587","-0,2125874126","-0,3664335664","0,5958041958",16
14439/,tt4160708,6,"-0,1318681319","-0,1318681319","0,3076923077","-0,1318681319","-0,1318681319","-0,1318681319","0,3516483516",16
14439/,tt4172430,4,"-0,0854700855","-0,0854700855","0,1196581197","-0,0854700855","-0,0854700855","-0,3076923077","0,5299145299",16
14439/,tt4196776,6,"0,0136054422","-0,0272108844","0,2176870748","-0,0272108844","-0,0272108844","-0,693877551","0,5442176871",16
14439/,tt4276820,6,"-0,0862533693","-0,1239892183","0,0269541779","-0,1239892183","-0,1239892183","-0,1239892183","0,5552560647",16
